Actual,Predicted
154951.428571,
9461.553572,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
6.500000001,
118.857142859,
414.07142857,
916.64285715,
1726.0892857,
2902.6250001,
4367.9642856,
5715.8392856,
8264.1071429,
10842.4107142,
14078.5714285,
16910.5892858,
20423.8928571,
24191.285714999998,
27772.517856,
31430.285714999998,
35840.678570000004,
40122.339287,
45141.196429,
51457.196428,
57139.160714,
62657.285714,
67403.803573,
72863.928573,
78923.821429,
84741.125,
90474.642856,
94812.428571,
100606.535715,
107259.428571,
112855.928573,
118011.803572,
123410.107144,
127024.160715,
131269.892857,
135691.232144,
141730.535715,
146938.089285,
151423.964285,
156033.339284,
160275.285715,
164207.892858,
167609.053571,
170333.089286,
172288.107144,
174487.392857,
176380.392858,
177712.839285,
178445.517858,
178742.214286,
178826.113098,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
80142.0,
75878.0,
5449.964286,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
8.767857143,
108.160714284,
330.696428586,
838.16071428,
1610.03571428,
2477.2321428,
3617.8214287,
4807.6428572,
6247.4107143,
8451.3928572,
11546.4999999,
15594.25,
19729.0535715,
23605.5892861,
28725.267857,
33077.928571,
37069.696426,
42163.660713,
45984.964285,
52206.142856,
56948.482144,
62553.035715,
68571.303573,
75286.821428,
79298.446428,
82200.928572,
84266.928572,
86497.517855,
90352.517857,
95096.035715,
99281.142858,
105964.232144,
112699.017856,
117702.839286,
122416.107144,
128366.19643,
133762.160715,
138015.357142,
140523.678572,
144473.535714,
148774.071429,
152509.571428,
155990.571427,
158710.821429,
161172.767857,
163366.428572,
165376.357144,
167007.571428,
167924.946428,
168368.910714,
168520.666666,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
107249.0,
93497.642857,
2000.821429,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
14.410714286,
165.732142858,
455.89285715,
1017.14285715,
2131.12499992,
3690.3392859,
5687.6250001,
